Job_Title,Company,Location,Salary_Min,Salary_Max,Description,Extracted_Skills,Longitude,Latitude,URL,Created,Experience_years,Experience_Level, Scikit_Learn,AWS,Docker,Google_Analytics,apache_airflow,azure,big_data,data_pipelines,deep_learning,etl,gcp,hadoop,java,kpi,kafka,kubernetes,machine_learning,pandas,power_bi,pytorch,python,r,sql,snowflake,spark,tableau,tensorflow,Avg_Salary,Skills
Data Engineer,Catch Recruit,"Sandton, North Johannesburg",12960.0,22680.0,"Key Responsibilities - Develop and maintain scalable backend services and APIs using Node.js and TypeScript. - Design and implement event-driven architectures leveraging technologies like Kafka. - Build and deploy containerized applications using Docker and Kubernetes. - Collaborate on multi-tenant and self-hosted platform development to support diverse deployment models. - Write clean, maintainable code with a strong focus on unit testing to achieve 80% test coverage. - Work closely with cross…",[],28.04833,-26.06861,https://www.adzuna.co.za/details/5012435460?utm_medium=api&utm_source=019ec8e4,2025-01-16,2,junior,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17820.0,"['Docker', 'kafka', 'kubernetes']"
Machine Learning Engineer,TN Italy,"Provincia di Brescia, Lombardia",54500.0,76300.0,"Social network you want to login/join with: Machine Learning/Data-Science Software Engineer, Province of Brescia Client: CompuGroup Medical Location: Province of Brescia, Italy Job Category: Other EU work permit required: Yes Job Reference: 03c1f6e329eb Job Views: 34 Posted: 06.03.2025 Expiry Date: 20.04.2025 Job Description: CompuGroup Medical is a world-wide company playing in the healthcare industry. In Italy, it is leading the market of ERP software for pharmacies, with more than 50% of the…",[],10.263698,45.651602,https://www.adzuna.it/land/ad/5083567845?se=xqKX3fX97xGwBbnwyHA-oA&utm_medium=api&utm_source=019ec8e4&v=E842DA210C0C66CFCB41197887C6B7F9E486DA57,2025-03-09,0,junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65400.0,['machine_learning']
Data Engineer,Unit8,"Warszawa, mazowieckie",66000.0,84000.0,"Who We Are Founded in 2017, Unit8 is a fast-growing Swiss AI and data analytics consulting and services company dedicated to solving complex problems of traditional industries like automotive, chemical, financial services, manufacturing and pharma. We work with some of the biggest organisations in Europe to solve the challenges that directly affect their business - be it operations, finance, manufacturing or R&D. Since our foundation, we have successfully delivered more than 150 projects and ha…",[],21.2453,52.21519,https://www.adzuna.pl/land/ad/5077274837?se=5Nx-8_X97xGzGerf98hqtQ&utm_medium=api&utm_source=019ec8e4&v=199F23E6DD3DAAB93D79C2BDFAA7FFEAA2FCECA2,2025-03-05,3,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75000.0,['r']
Data Engineer,Unit8,"Wrocław, dolnośląskie",66000.0,84000.0,"Who We Are Founded in 2017, Unit8 is a fast-growing Swiss AI and data analytics consulting and services company dedicated to solving complex problems of traditional industries like automotive, chemical, financial services, manufacturing and pharma. We work with some of the biggest organisations in Europe to solve the challenges that directly affect their business - be it operations, finance, manufacturing or R&D. Since our foundation, we have successfully delivered more than 150 projects and ha…",[],17.03854,51.10789,https://www.adzuna.pl/land/ad/5077279762?se=5Nx-8_X97xGzGerf98hqtQ&utm_medium=api&utm_source=019ec8e4&v=66F805AE62F6E24E72543725C250D0489F8822F3,2025-03-05,5,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75000.0,['r']
Data Engineer,Unit8,"Kraków, małopolskie",66000.0,84000.0,"Who We Are Founded in 2017, Unit8 is a fast-growing Swiss AI and data analytics consulting and services company dedicated to solving complex problems of traditional industries like automotive, chemical, financial services, manufacturing and pharma. We work with some of the biggest organisations in Europe to solve the challenges that directly affect their business - be it operations, finance, manufacturing or R&D. Since our foundation, we have successfully delivered more than 150 projects and ha…",[],20.17848,50.1024,https://www.adzuna.pl/land/ad/5077279767?se=5Nx-8_X97xGzGerf98hqtQ&utm_medium=api&utm_source=019ec8e4&v=A4BCA5E04216B614CAF9E2E18207318BD2F35143,2025-03-05,5,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75000.0,['r']
Machine Learning Engineer,BeZero Carbon,"Cambridge Heath, East London",69171.78,69171.78,"BeZero Carbon is a key player in the Voluntary Carbon Market as the world's leading ratings agency. We aim to bring transparency and trust to this rapidly growing market, empowering everyone to price and manage risk effectively. We're a dynamic climate tech startup with a team of brilliant minds spanning climate science, finance, earth observation, machine learning, and engineering. We're building cutting-edge technology to analyse vast data and provide critical insights to carbon market player…",[],-0.062612,51.529582,https://www.adzuna.co.uk/jobs/details/5036481370?utm_medium=api&utm_source=019ec8e4,2025-02-04,9,senior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69171.78,['machine_learning']
Data Engineer,Asset & Wealth Management,"London, UK",67949.58,67949.58,"Description What We Do At Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn dat…",[],-0.139134,51.503378,https://www.adzuna.co.uk/jobs/details/5024040775?utm_medium=api&utm_source=019ec8e4,2025-01-25,2,junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67949.58,['machine_learning']
Analytics Consultant,Tiger Analytics,"Dallas, Texas",152762.52,152762.52,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Various market research firms, including Forrester and Gartner, has recognized our business value and leadership. We are headquartered in Silicon Valley and have our global delivery center in Chennai, India. If you are passionate to work…",[],-96.767002,32.798895,https://www.adzuna.com/details/5025785985?utm_medium=api&utm_source=019ec8e4,2025-01-27,13,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,152762.52,['machine_learning']
Analytics Consultant,Tiger Analytics,"Jersey City, Hudson County",161491.0,161491.0,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 500 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner. We are headquartered in Silicon Valley and have our global delivery center in India. If you are passionate to work …",[],-74.0447,40.721832,https://www.adzuna.com/details/4753070967?utm_medium=api&utm_source=019ec8e4,2024-06-26,15,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,161491.0,['machine_learning']
Analytics Consultant,Tiger Analytics,"Jersey City, Hudson County",147388.53,147388.53,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner. We are looking for someone with a good blend of business consulting skills and a data analytics background. If you …",[],-74.0447,40.721832,https://www.adzuna.com/details/4899061752?utm_medium=api&utm_source=019ec8e4,2024-10-11,10,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,147388.53,['machine_learning']
